id;serie_bac;type_bac;annee_obtention;note_bac;scanne_bac;scanne_bac_content_type;mention;ville_obtention
1;Savings;Beauty;Borders throughput;7938;../fake-data/blob/hipster.png;image/png;quantify b;Cambridgeshire
2;Assimilated Rand;Incredible Ergonomic;Auvergne AI demand-driven;17461;../fake-data/blob/hipster.png;image/png;Tools;implement neural parse
3;Kids payment;withdrawal Basse-Normandie;Serbie context-sensitive cross-platform;92442;../fake-data/blob/hipster.png;image/png;structure infomediaries;frictionless
4;Papouasie-Nouvelle-Guinée Charlemagne Cotton;Unbranded;neural Rubber;79049;../fake-data/blob/hipster.png;image/png;CFA wireless Bacon;c Loan c
5;PCI;target;Granite;28322;../fake-data/blob/hipster.png;image/png;maroon quantify Granite;capacity payment
6;Mozambique Kids Rosiers;auxiliary array green;c Bike;16685;../fake-data/blob/hipster.png;image/png;infomediaries Account dynamic;Shoes Soap
7;parsing evolve b;Dauphine Developpeur;a;71818;../fake-data/blob/hipster.png;image/png;XML Practical a;executive
8;productize;Outdoors;bypassing;62182;../fake-data/blob/hipster.png;image/png;capacitor Designer Lorraine;fuchsia Borders Dinar
9;Fantastic Lempira;AI;de open-source;77021;../fake-data/blob/hipster.png;image/png;frictionless;seamless
10;bypass Avon;Designer Account;override;90910;../fake-data/blob/hipster.png;image/png;Electronics Borders Codes;monetize Face maroon
