id;description;date;vu;message
1;Rustic Saint-Séverin;2022-07-21T13:39:15;true;Metal USB CSS
2;program next-generation;2022-07-21T05:38:16;false;Rubber reboot payment
3;payment b;2022-07-20T18:47:24;true;Administrateur Delesseux
4;Stagiaire;2022-07-21T03:49:03;false;asymmetric Interface withdrawal
5;Salad;2022-07-20T22:35:30;true;Health parallelism
6;Health technologies;2022-07-21T07:53:08;false;multi-byte Directeur
7;generate auxiliary Sports;2022-07-21T10:54:42;false;workforce
8;system;2022-07-21T06:24:10;true;mobile d'Abbeville bluetooth
9;Namibie relationships bandwidth;2022-07-21T10:45:04;false;payment
10;b b relationships;2022-07-21T05:03:20;true;cross-platform SMTP bandwidth-monitored
