id;titre;date;description;type;article;article_content_type
1;reboot;81841;Steel Guinée;Bedfordshire;../fake-data/blob/hipster.png;image/png
2;focus payment model;7646;Fantastic turquoise;c Saint-Séverin Account;../fake-data/blob/hipster.png;image/png
3;connecting Keyboard;81192;Consultant deposit Clothing;indexing;../fake-data/blob/hipster.png;image/png
4;Practical;38228;Personal;holistic yellow Borders;../fake-data/blob/hipster.png;image/png
5;de;94885;Computer empowering time-frame;Practical fresh-thinking Malte;../fake-data/blob/hipster.png;image/png
6;connecting;47379;Gloves Toys 24/7;Steel c web-readiness;../fake-data/blob/hipster.png;image/png
7;synthesizing Garden;49597;calculating;Towels index Card;../fake-data/blob/hipster.png;image/png
8;Soft interfaces;83654;transmitting;b SMS neural;../fake-data/blob/hipster.png;image/png
9;bandwidth;12943;green;Bretagne JBOD port;../fake-data/blob/hipster.png;image/png
10;clear-thinking;7241;saoudite;cohesive feed;../fake-data/blob/hipster.png;image/png
